 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.40 Teff 37.15 logg 3.40 R/R0 23.56 R 1.6386E+12
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 3.28839200E+02 3.03534430E-05
 3.28844600E+02 3.02058310E-05
 3.28980090E+02 2.24738900E-05
 3.29599750E+02 3.54918060E-05
 3.30220570E+02 9.09535300E-05
 3.30842560E+02 4.49335980E-05
 3.30968620E+02 4.31719850E-05
 3.31465730E+02 3.61973950E-05
 3.32090070E+02 6.05567360E-06
 3.32715580E+02 2.07798220E-05
 3.33125800E+02 5.13110790E-05
 3.33131340E+02 5.17254320E-05
 3.33342270E+02 6.74848000E-05
 3.33970150E+02 9.64598250E-06
 3.34599200E+02 2.72122130E-05
 3.35229440E+02 1.95972040E-05
 3.35860870E+02 7.52949910E-06
 3.36493480E+02 1.31030450E-05
 3.37127290E+02 4.64840600E-05
 3.37447320E+02 6.37473480E-05
 3.37762290E+02 8.08012860E-05
 3.38398490E+02 5.08336850E-05
 3.39035890E+02 1.35438640E-05
 3.39674490E+02 1.08127500E-05
 3.40314290E+02 2.83251290E-05
 3.40955290E+02 2.53571310E-05
 3.41597500E+02 1.61285450E-05
 3.41882450E+02 1.24442450E-05
 3.41888290E+02 1.24726940E-05
 3.42240920E+02 7.85735770E-06
 3.42885560E+02 1.29327000E-05
 3.43531410E+02 4.66472160E-05
 3.44178470E+02 6.40428690E-05
 3.44826750E+02 5.24867090E-05
 3.45476260E+02 3.18696370E-05
 3.46126990E+02 1.21803610E-04
 3.46778940E+02 8.85927620E-05
 3.46988970E+02 7.53848470E-05
 3.47432120E+02 4.74159990E-05
 3.48086530E+02 4.24011730E-05
 3.48742180E+02 1.33828850E-04
 3.49399060E+02 4.31718960E-05
 3.50057170E+02 1.86231620E-05
 3.50716530E+02 3.06218670E-05
 3.51377130E+02 4.71889400E-06
 3.52038970E+02 1.57561210E-05
 3.52250350E+02 2.18528560E-05
 3.52256560E+02 2.22908320E-05
 3.52702060E+02 3.53369080E-05
 3.53366400E+02 2.71269660E-05
 3.54031990E+02 1.63697780E-05
 3.54698830E+02 1.80366620E-05
 3.55366930E+02 1.79472930E-05
 3.56036290E+02 2.35588830E-05
 3.56567800E+02 2.61155740E-05
 3.56706900E+02 2.67869510E-05
 3.57378790E+02 9.41258950E-06
 3.58051930E+02 2.42050410E-04
 3.58726350E+02 1.08618930E-05
 3.59402030E+02 1.59727930E-05
 3.60078990E+02 2.49323180E-05
 3.60757220E+02 4.36990990E-05
 3.60992390E+02 5.00698420E-05
 3.61436730E+02 6.21475790E-05
 3.62117530E+02 2.89971220E-05
 3.62799600E+02 3.60870430E-07
 3.63482960E+02 2.18451640E-05
 3.64167600E+02 5.57917880E-05
 3.64853530E+02 7.36089160E-05
 3.65528170E+02 7.85093490E-05
 3.65540760E+02 7.86010800E-05
 3.66229280E+02 1.24288850E-04
 3.66919100E+02 1.64700490E-04
 3.67610220E+02 3.51390140E-04
 3.67839080E+02 2.66208800E-04
 3.68302630E+02 9.31045080E-05
 3.68996360E+02 2.63634940E-05
 3.69691390E+02 1.30411520E-04
 3.70179390E+02 6.92303830E-05
 3.70186240E+02 6.83695100E-05
 3.70387720E+02 4.30253650E-05
 3.71085380E+02 4.88299110E-05
 3.71784340E+02 2.20724530E-06
 3.72484620E+02 3.02835990E-06
 3.73186220E+02 6.22774210E-05
 3.73889140E+02 1.27064190E-04
 3.74593390E+02 1.16447640E-04
 3.75000000E+02 1.21875940E-04
 3.75298960E+02 1.25879130E-04
 3.76005860E+02 2.41826620E-05
 3.76714090E+02 6.18587010E-05
 3.77423660E+02 9.76863310E-06
 3.78134560E+02 3.47983730E-05
 3.78846800E+02 6.22736960E-05
 3.79560390E+02 6.41443790E-05
 3.80275310E+02 5.75211220E-05
 3.80991590E+02 6.15712160E-05
 3.81709210E+02 8.44740980E-05
 3.82428190E+02 2.31646220E-05
 3.83148520E+02 4.96822690E-06
 3.83870200E+02 3.81472320E-05
 3.84593250E+02 2.01601380E-06
 3.85317650E+02 6.48226390E-05
 3.86043430E+02 1.53666460E-04
 3.86770560E+02 1.59123970E-04
 3.87499070E+02 7.02219960E-05
 3.87886570E+02 7.42571810E-05
 3.88228950E+02 7.78328830E-05
 3.88960210E+02 8.87705380E-05
 3.89692840E+02 7.95447930E-05
 3.90426850E+02 6.05447510E-05
 3.91162250E+02 3.77354240E-05
 3.91899030E+02 5.46647110E-05
 3.92637200E+02 1.00330040E-04
 3.93376760E+02 1.51364040E-05
 3.94117710E+02 7.48778380E-05
 3.94860060E+02 1.65127580E-04
 3.95000000E+02 1.80082100E-04
 3.95603800E+02 2.44792610E-04
 3.96348950E+02 3.52879550E-04
 3.97095500E+02 5.76977960E-05
 3.97843450E+02 6.36487710E-05
 3.98592820E+02 9.17941130E-05
 3.99343590E+02 1.81337720E-04
 4.00095790E+02 2.12453000E-04
 4.00849390E+02 1.32791070E-04
 4.01604420E+02 2.31471090E-04
 4.02360870E+02 3.06396290E-04
 4.03118740E+02 2.73668740E-04
 4.03878040E+02 4.16975640E-04
 4.04638780E+02 2.83246860E-04
 4.05400940E+02 2.27291110E-04
 4.06164540E+02 2.67283680E-04
 4.06929580E+02 1.68890350E-04
 4.07372880E+02 1.60675150E-04
 4.07696060E+02 1.54668550E-04
