 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 0.05 Teff 25.00 logg 4.00 R/R0 7.07 R 4.9172E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 3.72649160E+02 2.23911380E-10
 3.73375970E+02 8.41371850E-11
 3.74104190E+02 4.77746470E-10
 3.74833840E+02 4.66103820E-10
 3.75564920E+02 3.08610710E-10
 3.76297410E+02 3.10844830E-10
 3.77031340E+02 3.56748500E-10
 3.77652630E+02 3.35963150E-10
 3.77766700E+02 3.31988330E-10
 3.78503490E+02 3.46157780E-10
 3.79241720E+02 3.29429680E-10
 3.79981390E+02 3.77786770E-10
 3.80722500E+02 3.89757020E-10
 3.81465060E+02 4.04142980E-10
 3.82209060E+02 4.17476350E-10
 3.82954520E+02 4.32803840E-10
 3.83701430E+02 4.47100070E-10
 3.84449800E+02 4.57943210E-10
 3.85199620E+02 1.01588610E-10
 3.85433840E+02 7.64963240E-10
 3.85441270E+02 7.86203920E-10
 3.85950910E+02 2.27640240E-09
 3.86703670E+02 8.05146000E-10
 3.87457890E+02 5.32953200E-10
 3.88213590E+02 7.58876960E-10
 3.88970750E+02 5.69424990E-10
 3.89193040E+02 5.73889380E-10
 3.89200620E+02 5.62148400E-10
 3.89729400E+02 5.72670740E-10
 3.90489520E+02 6.02319110E-10
 3.91251130E+02 5.94050820E-10
 3.92014220E+02 1.29112710E-09
 3.92778800E+02 6.60389550E-10
 3.93544870E+02 6.77188670E-10
 3.94312440E+02 6.86600510E-10
 3.95081500E+02 7.01165330E-10
 3.95112300E+02 7.03246340E-10
 3.95852060E+02 7.54412660E-10
 3.96624130E+02 7.69536120E-10
 3.97397700E+02 7.95834440E-10
 3.98172780E+02 7.97426240E-10
 3.98949370E+02 8.47937320E-10
 3.99727480E+02 8.80513370E-10
 4.00507110E+02 9.07786270E-10
 4.01214400E+02 9.33519380E-10
 4.01222440E+02 9.33796720E-10
 4.01288250E+02 9.36222910E-10
 4.02070920E+02 9.65220320E-10
 4.02855110E+02 9.79774020E-10
 4.03640840E+02 9.74996810E-10
 4.04428100E+02 1.06860760E-09
 4.05216890E+02 1.03079970E-09
 4.05223990E+02 1.03195830E-09
 4.05232200E+02 1.03326780E-09
 4.06007220E+02 1.16307990E-09
 4.06799090E+02 1.12961730E-09
 4.07592510E+02 1.22224100E-09
 4.08106300E+02 1.23848120E-09
 4.08387470E+02 1.24741190E-09
 4.09183990E+02 1.28466850E-09
 4.09982050E+02 1.33926250E-09
 4.10781680E+02 1.36888970E-09
 4.11029910E+02 1.38047540E-09
 4.11038350E+02 1.37345970E-09
 4.11582860E+02 1.39903030E-09
 4.12385610E+02 1.44479840E-09
 4.13189920E+02 1.48845300E-09
 4.13995800E+02 1.53335540E-09
 4.14803260E+02 1.58914560E-09
 4.14878200E+02 1.59369560E-09
 4.15612290E+02 1.63885880E-09
 4.16422890E+02 1.68882700E-09
 4.17235080E+02 1.73458340E-09
 4.18048850E+02 1.78037960E-09
 4.18799230E+02 3.41203190E-09
 4.18808000E+02 3.42819370E-09
 4.18864210E+02 3.55375160E-09
 4.19681160E+02 1.89795130E-09
 4.20499700E+02 1.96441790E-09
 4.21319840E+02 2.02527330E-09
 4.22141570E+02 2.08393000E-09
 4.22964910E+02 2.13215830E-09
 4.23789860E+02 2.21709650E-09
 4.24051390E+02 2.22840100E-09
 4.24616420E+02 2.25281130E-09
 4.25444580E+02 2.34535750E-09
 4.26274370E+02 2.42325680E-09
 4.27105770E+02 2.47713230E-09
 4.27938790E+02 2.56000860E-09
 4.28773440E+02 2.40607200E-09
 4.29436960E+02 2.64220510E-09
 4.29609710E+02 2.70515520E-09
 4.30447620E+02 2.97516740E-09
 4.31287160E+02 2.90954970E-09
 4.32128340E+02 2.97788830E-09
 4.32971160E+02 3.04576740E-09
 4.33815620E+02 3.12810870E-09
 4.34661730E+02 3.21903240E-09
 4.34961080E+02 3.26505970E-09
 4.35509490E+02 3.35076990E-09
 4.36358900E+02 3.43720400E-09
 4.37209970E+02 3.50375960E-09
 4.37776790E+02 3.60185430E-09
 4.38062700E+02 3.65216360E-09
 4.38917090E+02 3.75411420E-09
 4.39773150E+02 3.86386380E-09
 4.40629180E+02 3.90649040E-09
 4.40630880E+02 3.90657400E-09
 4.40638890E+02 3.90733090E-09
 4.41490280E+02 4.01754810E-09
 4.42351360E+02 4.17234070E-09
 4.43214120E+02 4.32659310E-09
 4.43332170E+02 4.32841290E-09
 4.43342000E+02 4.32847640E-09
 4.44078560E+02 4.33859330E-09
 4.44944690E+02 3.97170950E-09
 4.45099230E+02 4.01907900E-09
 4.45109140E+02 4.02212680E-09
 4.45812500E+02 4.24213080E-09
 4.46543000E+02 5.15438150E-09
 4.46552970E+02 5.16701480E-09
 4.46682010E+02 5.33215000E-09
 4.47326020E+02 4.97375070E-09
 4.47336020E+02 4.96733870E-09
 4.47553210E+02 4.84276560E-09
 4.48426120E+02 5.14844590E-09
 4.49300720E+02 5.20904080E-09
 4.49716120E+02 5.21993310E-09
 4.49726230E+02 5.22011410E-09
 4.50177030E+02 5.23116660E-09
 4.51055050E+02 5.38507250E-09
 4.51934790E+02 5.76345630E-09
 4.52816240E+02 6.04178800E-09
 4.52875170E+02 6.04201210E-09
 4.52885420E+02 6.04204910E-09
 4.53699400E+02 6.04301910E-09
 4.54584290E+02 6.19485070E-09
 4.55470910E+02 6.38406620E-09
 4.56359260E+02 6.32137860E-09
 4.56474270E+02 6.43329640E-09
 4.57249340E+02 7.20464280E-09
 4.58141150E+02 1.79773410E-07
 4.59034700E+02 7.76650140E-09
 4.59930000E+02 9.40512740E-09
 4.60131030E+02 9.34171880E-09
 4.60141610E+02 9.33835030E-09
 4.60500780E+02 9.22230930E-09
 4.60511380E+02 9.21853160E-09
 4.60827040E+02 9.11361910E-09
 4.61725830E+02 7.34170270E-09
 4.62626380E+02 8.51121830E-09
