UniqueID      Time          Wavelength    L_lambda      L_l_neb       
              (yr)          (Angstrom)    (erg/s/A)     (erg/s/A)     
-----------   -----------   -----------   -----------   -----------   
          1   5.00000e+05   1.66615e+03   6.11515e+38   8.19289e+38
          1   5.00000e+05   1.66622e+03   6.11341e+38   7.89323e+38
          1   5.00000e+05   1.66629e+03   6.11167e+38   7.27908e+38
          1   5.00000e+05   1.66636e+03   6.10994e+38   6.79812e+38
          1   5.00000e+05   1.66643e+03   6.10820e+38   6.58063e+38
          1   5.00000e+05   1.66650e+03   6.10646e+38   6.51781e+38
          1   5.00000e+05   1.66657e+03   6.10473e+38   6.50480e+38
          1   5.00000e+05   1.66664e+03   6.10299e+38   6.50166e+38
          1   5.00000e+05   1.66671e+03   6.10126e+38   6.49978e+38
          1   5.00000e+05   1.67200e+03   5.97069e+38   6.36643e+38
          1   5.00000e+05   1.67700e+03   6.12179e+38   6.51493e+38
          1   5.00000e+05   1.68500e+03   5.99706e+38   6.38605e+38
          1   5.00000e+05   1.69500e+03   5.85030e+38   6.23414e+38
          1   5.00000e+05   1.70500e+03   5.73730e+38   6.11604e+38
          1   5.00000e+05   1.71500e+03   5.58800e+38   5.96171e+38
          1   5.00000e+05   1.72500e+03   5.46514e+38   5.83389e+38
          1   5.00000e+05   1.73500e+03   5.44583e+38   5.80969e+38
          1   5.00000e+05   1.74500e+03   5.34908e+38   5.70812e+38
          1   5.00000e+05   1.75500e+03   5.27367e+38   5.62798e+38
          1   5.00000e+05   1.76500e+03   5.16555e+38   5.51521e+38
          1   5.00000e+05   1.77500e+03   5.04920e+38   5.39430e+38
          1   5.00000e+05   1.78500e+03   5.00240e+38   5.34303e+38
          1   5.00000e+05   1.79500e+03   4.92870e+38   5.26495e+38
          1   5.00000e+05   1.80500e+03   4.86308e+38   5.19506e+38
          1   5.00000e+05   1.81500e+03   4.72574e+38   5.05355e+38
          1   5.00000e+05   1.82500e+03   4.66654e+38   4.99026e+38
          1   5.00000e+05   1.83500e+03   4.58857e+38   4.90832e+38
          1   5.00000e+05   1.84500e+03   4.45545e+38   4.77132e+38
          1   5.00000e+05   1.85500e+03   4.40389e+38   4.71600e+38
          1   5.00000e+05   1.86500e+03   4.35191e+38   4.66035e+38
          1   5.00000e+05   1.87500e+03   4.30138e+38   4.60624e+38
          1   5.00000e+05   1.88500e+03   4.16850e+38   4.46991e+38
          1   5.00000e+05   1.89140e+03   4.10988e+38   4.40914e+38
          1   5.00000e+05   1.89148e+03   4.10916e+38   4.40849e+38
          1   5.00000e+05   1.89156e+03   4.10845e+38   4.40892e+38
          1   5.00000e+05   1.89164e+03   4.10773e+38   4.41785e+38
          1   5.00000e+05   1.89171e+03   4.10701e+38   4.46966e+38
          1   5.00000e+05   1.89179e+03   4.10630e+38   4.65462e+38
          1   5.00000e+05   1.89187e+03   4.10558e+38   5.06640e+38
          1   5.00000e+05   1.89195e+03   4.10487e+38   5.59283e+38
          1   5.00000e+05   1.89203e+03   4.10415e+38   5.84853e+38
          1   5.00000e+05   1.89211e+03   4.10344e+38   5.59135e+38
          1   5.00000e+05   1.89219e+03   4.10272e+38   5.06343e+38
          1   5.00000e+05   1.89227e+03   4.10201e+38   4.65018e+38
          1   5.00000e+05   1.89235e+03   4.10129e+38   4.46373e+38
          1   5.00000e+05   1.89242e+03   4.10058e+38   4.41044e+38
          1   5.00000e+05   1.89250e+03   4.09986e+38   4.40003e+38
          1   5.00000e+05   1.89258e+03   4.09915e+38   4.39811e+38
          1   5.00000e+05   1.89266e+03   4.09844e+38   4.39727e+38
          1   5.00000e+05   1.89500e+03   4.07734e+38   4.37539e+38
          1   5.00000e+05   1.90500e+03   4.06899e+38   4.36380e+38
          1   5.00000e+05   1.91500e+03   3.97535e+38   4.26701e+38
          1   5.00000e+05   1.92500e+03   3.87026e+38   4.15888e+38
          1   5.00000e+05   1.93500e+03   3.87418e+38   4.15987e+38
          1   5.00000e+05   1.94500e+03   3.83777e+38   4.12062e+38
          1   5.00000e+05   1.95500e+03   3.69817e+38   3.97829e+38
          1   5.00000e+05   1.96700e+03   3.69899e+38   3.97596e+38
          1   5.00000e+05   1.97600e+03   3.68074e+38   3.95545e+38
          1   5.00000e+05   1.98400e+03   3.59830e+38   3.87107e+38
          1   5.00000e+05   1.99500e+03   3.52414e+38   3.79435e+38
          1   5.00000e+05   2.00500e+03   3.50100e+38   3.76899e+38
          1   5.00000e+05   2.01500e+03   3.44831e+38   3.71416e+38
          1   5.00000e+05   2.02500e+03   3.41752e+38   3.68134e+38
          1   5.00000e+05   2.03500e+03   3.32360e+38   3.58548e+38
          1   5.00000e+05   2.04500e+03   3.28083e+38   3.54088e+38
          1   5.00000e+05   2.05500e+03   3.16473e+38   3.42302e+38
          1   5.00000e+05   2.06500e+03   3.19254e+38   3.44918e+38
          1   5.00000e+05   2.07400e+03   3.24806e+38   3.50329e+38
          1   5.00000e+05   2.07800e+03   3.18238e+38   3.43701e+38
          1   5.00000e+05   2.08500e+03   3.16912e+38   3.42273e+38
          1   5.00000e+05   2.09500e+03   3.09318e+38   3.34541e+38
          1   5.00000e+05   2.10500e+03   3.06912e+38   3.32005e+38
          1   5.00000e+05   2.11500e+03   3.03945e+38   3.28918e+38
          1   5.00000e+05   2.12500e+03   2.99649e+38   3.24510e+38
          1   5.00000e+05   2.13500e+03   2.94834e+38   3.19591e+38
          1   5.00000e+05   2.14500e+03   2.89262e+38   3.13924e+38
          1   5.00000e+05   2.15500e+03   2.87169e+38   3.11744e+38
          1   5.00000e+05   2.16500e+03   2.81586e+38   3.06083e+38
          1   5.00000e+05   2.17500e+03   2.78343e+38   3.02768e+38
          1   5.00000e+05   2.18500e+03   2.73360e+38   2.97723e+38
          1   5.00000e+05   2.19500e+03   2.71307e+38   2.95614e+38
          1   5.00000e+05   2.20500e+03   2.67093e+38   2.91354e+38
          1   5.00000e+05   2.21500e+03   2.62025e+38   2.86246e+38
          1   5.00000e+05   2.22500e+03   2.58015e+38   2.82204e+38
          1   5.00000e+05   2.23500e+03   2.54791e+38   2.78955e+38
          1   5.00000e+05   2.24500e+03   2.51142e+38   2.75289e+38
          1   5.00000e+05   2.25500e+03   2.46480e+38   2.70616e+38
          1   5.00000e+05   2.26500e+03   2.44143e+38   2.68277e+38
          1   5.00000e+05   2.27500e+03   2.40861e+38   2.64998e+38
          1   5.00000e+05   2.28500e+03   2.37319e+38   2.61465e+38
          1   5.00000e+05   2.29500e+03   2.30939e+38   2.55101e+38
          1   5.00000e+05   2.30500e+03   2.29499e+38   2.53682e+38
          1   5.00000e+05   2.31500e+03   2.25978e+38   2.50189e+38
          1   5.00000e+05   2.32018e+03   2.22007e+38   2.46236e+38
          1   5.00000e+05   2.32027e+03   2.21934e+38   2.46167e+38
          1   5.00000e+05   2.32037e+03   2.21860e+38   2.46152e+38
          1   5.00000e+05   2.32047e+03   2.21787e+38   2.46550e+38
          1   5.00000e+05   2.32056e+03   2.21713e+38   2.49040e+38
          1   5.00000e+05   2.32066e+03   2.21640e+38   2.58024e+38
          1   5.00000e+05   2.32076e+03   2.21567e+38   2.78069e+38
          1   5.00000e+05   2.32085e+03   2.21493e+38   3.03706e+38
          1   5.00000e+05   2.32095e+03   2.21420e+38   3.16140e+38
          1   5.00000e+05   2.32105e+03   2.21347e+38   3.03561e+38
          1   5.00000e+05   2.32114e+03   2.21273e+38   2.77777e+38
          1   5.00000e+05   2.32124e+03   2.21200e+38   2.57586e+38
          1   5.00000e+05   2.32134e+03   2.21127e+38   2.48457e+38
          1   5.00000e+05   2.32143e+03   2.21054e+38   2.45821e+38
          1   5.00000e+05   2.32153e+03   2.20981e+38   2.45276e+38
          1   5.00000e+05   2.32163e+03   2.20908e+38   2.45146e+38
          1   5.00000e+05   2.32172e+03   2.20834e+38   2.45069e+38
          1   5.00000e+05   2.32500e+03   2.18377e+38   2.42623e+38
          1   5.00000e+05   2.33500e+03   2.19263e+38   2.43550e+38
          1   5.00000e+05   2.34500e+03   2.16449e+38   2.40784e+38
          1   5.00000e+05   2.35500e+03   2.13585e+38   2.37973e+38
          1   5.00000e+05   2.36500e+03   2.10191e+38   2.34639e+38
          1   5.00000e+05   2.37500e+03   2.06926e+38   2.31440e+38
          1   5.00000e+05   2.38500e+03   2.02877e+38   2.27463e+38
          1   5.00000e+05   2.39500e+03   2.01312e+38   2.25977e+38
          1   5.00000e+05   2.40500e+03   1.98468e+38   2.23217e+38
          1   5.00000e+05   2.41500e+03   1.95951e+38   2.20791e+38
          1   5.00000e+05   2.42500e+03   1.93823e+38   2.18761e+38
          1   5.00000e+05   2.43500e+03   1.90501e+38   2.15546e+38
          1   5.00000e+05   2.44500e+03   1.88512e+38   2.13675e+38
          1   5.00000e+05   2.45500e+03   1.85989e+38   2.11275e+38
          1   5.00000e+05   2.46500e+03   1.83409e+38   2.08824e+38
          1   5.00000e+05   2.47500e+03   1.80741e+38   2.06289e+38
          1   5.00000e+05   2.48500e+03   1.78043e+38   2.03728e+38
          1   5.00000e+05   2.49500e+03   1.66733e+38   1.92560e+38
          1   5.00000e+05   2.50500e+03   1.72926e+38   1.98899e+38
          1   5.00000e+05   2.51300e+03   1.69204e+38   1.95296e+38
          1   5.00000e+05   2.51800e+03   1.69931e+38   1.96099e+38
          1   5.00000e+05   2.52500e+03   1.68729e+38   1.95004e+38
