#"E (kev)" "Fv (kev/s/cm^2/kev)"
2.116874780885784e-05 1.1335103587755447e+26
2.1361919922127373e-05 1.1620455239765147e+26
2.156239675142784e-05 1.1914050324035968e+26
2.1759037339129394e-05 1.2199147003149959e+26
2.196318479513468e-05 1.2492544392210842e+26
2.216327811856302e-05 1.2777767962116344e+26
2.2371083827572267e-05 1.3071240981498404e+26
2.2578713540985585e-05 1.3362008728405377e+26
2.278604791693587e-05 1.365007632256373e+26
2.2997225376777723e-05 1.3941003707991695e+26
2.3208011767249497e-05 1.4229129194323233e+26
2.3422697924809478e-05 1.4520299410256749e+26
2.3641393084549505e-05 1.481462799754578e+26
2.3859621328406886e-05 1.5106172574459332e+26
2.4081915937056637e-05 1.540102484216123e+26
2.4303629952539823e-05 1.5692896956973438e+26
2.4529464394566193e-05 1.5988532867722797e+26
2.475459515317554e-05 1.6280996252384287e+26
2.498389667896009e-05 1.657696342752947e+26
2.5217485956852804e-05 1.687674117808107e+26
2.545026275030068e-05 1.717358188578091e+26
2.5682059802880522e-05 1.7467290904598152e+26
2.5923533411557836e-05 1.7771850082952027e+26
2.616407231288819e-05 1.807340979486521e+26
2.6403496681786724e-05 1.8371684054279495e+26
2.6647343408014564e-05 1.8674334902939505e+26
2.6895736160354605e-05 1.8981014716789658e+26
2.7142863904553883e-05 1.928469132565782e+26
2.739457516178313e-05 1.9592214184951464e+26
2.7650998642236638e-05 1.9904498355140428e+26
2.790598985778583e-05 2.021373103221979e+26
2.815933520374848e-05 2.0519905584825654e+26
2.8423832968548864e-05 2.0838114236991833e+26
2.8686712348604812e-05 2.1153086474145326e+26
2.8954499628405086e-05 2.1473339962357697e+26
2.922045004892035e-05 2.1789949130115587e+26
2.9491331330571855e-05 2.2111536628497582e+26
2.9760141738478244e-05 2.2429803716519873e+26
3.0041169711311335e-05 2.2761631275795397e+26
3.0312736600956707e-05 2.308162011350981e+26
3.059680170350574e-05 2.341547224806163e+26
3.087855423288099e-05 2.374582151089777e+26
3.1165544061219745e-05 2.4386256533682334e+26
3.144994446329932e-05 2.529513174005151e+26
3.1747704940561877e-05 2.623502544826809e+26
3.203460648275647e-05 2.713009747118032e+26
3.233516573044457e-05 2.8056247623198452e+26
