 WMBASIC, Moont, Westmoquette 2004 (Pauldrach 2003) after SNC 2002
 Z/Z0 2.00 Teff 50.00 logg 4.00 R/R0 9.80 R 6.8160E+11
   Wavelength   Eddington Hnu
 (Angstroms) (erg/s/cm2/Hz/sr)
 3.50950420E+02 4.41241170E-04
 3.51594170E+02 3.49165050E-04
 3.52239100E+02 1.29606230E-04
 3.52250350E+02 1.32869330E-04
 3.52256560E+02 1.34722760E-04
 3.52885220E+02 3.17385530E-04
 3.53532520E+02 2.00182290E-03
 3.54181010E+02 2.15297080E-03
 3.54830690E+02 5.60560670E-04
 3.55481560E+02 2.74286340E-05
 3.56133630E+02 2.99775320E-05
 3.56567800E+02 2.12297960E-05
 3.56786890E+02 1.68103500E-05
 3.57441350E+02 7.88228630E-06
 3.58097010E+02 2.62071070E-05
 3.58753870E+02 5.23769940E-05
 3.59411940E+02 1.47929870E-04
 3.60071210E+02 3.70564090E-04
 3.60731700E+02 4.47489330E-04
 3.60992390E+02 1.33020500E-03
 3.61393390E+02 2.68947140E-03
 3.62056300E+02 4.80481930E-04
 3.62720420E+02 1.21048030E-04
 3.63385770E+02 1.47087590E-04
 3.64052330E+02 2.14429520E-04
 3.64720120E+02 3.61392930E-04
 3.65389130E+02 7.84279740E-04
 3.65528170E+02 7.18238190E-04
 3.66059370E+02 4.65671170E-04
 3.66730840E+02 1.95849920E-03
 3.67403540E+02 7.59856440E-04
 3.67839080E+02 2.04124880E-03
 3.68077470E+02 2.74331480E-03
 3.68752640E+02 1.98731810E-03
 3.69429050E+02 1.06337770E-03
 3.70106700E+02 3.88409110E-04
